Rakip Domain	Ortak KW	Rakip KW	Kelebek KW	Paylaşım %	Rakip Trafik	Rakip DR
istikbal.com.tr	12342	26252	6753	27.2	1260922	66
bellona.com.tr	12125	35096	6970	22.3	1189177	56
ikea.com.tr	11635	78559	7460	11.9	3833538	66
koctas.com.tr	11241	198481	7854	5.1	3848351	72
vivense.com	9710	25533	9385	21.7	1133138	64
enzahome.com.tr	7989	9715	11106	27.7	392036	39
mondihome.com.tr	7083	6598	12012	27.5	233929	41
gundogdumobilya.com.tr	6671	8241	12424	24.4	197635	36
modalife.com	6414	6556	12681	25.0	269385	33
divanev.com.tr	6366	5215	12729	26.1	129582	35
ergul.com.tr	4261	2632	14834	19.6	138741	32
cilek.com	3956	7436	15139	14.9	159260	53
normod.com	3273	2566	15822	15.1	169368	38
medusahome.com.tr	2969	3013	16126	13.4	69639	31
engince.com.tr	2689	1819	16406	12.8	67340	29
lajivert.com.tr	2030	3315	17065	9.0	90612	36
minarmobilya.com	1562	1852	17533	7.4	85336	35
konfor.com.tr	1462	538	17633	7.4	37140	37
