Rakip Domain	Ortak KW	Rakip KW	Lovayatak KW	Paylaşım %	Rakip Trafik	Rakip DR
yatasbedding.com.tr	2408	12865	2435	13.5	608890	49
istikbal.com.tr	2073	36521	2770	5.0	1260922	66
bambi.com.tr	2052	7404	2791	16.7	205941	42
bellona.com.tr	2010	45211	2833	4.0	1189178	56
ikea.com.tr	1857	88337	2986	1.9	3833517	66
isbiryatak.com	1591	3352	3252	19.4	89009	54
puffy.com.tr	1582	3003	3261	20.1	122545	33
idas.com.tr	1550	3213	3293	19.2	65286	50
yatsan.com	1391	2867	3452	18.0	74721	43
mondihome.com.tr	1170	12511	3673	6.7	233928	41
englishhome.com	1069	24218	3774	3.6	668869	50
madamecoco.com	1037	22178	3806	3.8	547378	51
doquhome.com.tr	932	3618	3911	11.0	45371	42
tac.com.tr	806	6498	4037	7.1	139598	44
wellmatt.com	788	1168	4055	13.1	22790	30
horlamatedavisi.com	709	3296	4134	8.7	45682	8
karaca-home.com	580	9477	4263	4.0	247806	39
penelopebedroom.com	415	945	4412	7.1	23194	36
sleeppeople.com.tr	397	247	4280	8.0	4891	7
altinbasak.com	369	730	4455	6.6	11305	20
