Kategori Sayfası	Kelebek URL	Kelebek Trafik	Kelebek KW	Dogtas URL	Dogtas Trafik	Dogtas KW	Lovayatak URL	Lovayatak Trafik	Lovayatak KW	Lider Marka
Anasayfa	kelebek.com	111629	4772	dogtas.com	79124	2461	lovayatak.com	7662	853	Kelebek
Koltuk Takimlari	/koltuk-takimlari	17726	2997	/koltuk-takimlari	37484	2746	-	-	-	Dogtas
Yatak Odası	/yatak-odasi-takimi	10777	3448	/yatak-odasi-takimlari	28390	1452	-	-	-	Dogtas
Yemek Odası	/yemek-odasi-takimi	12556	2215	/yemek-odasi-takimlari	4387	988	-	-	-	Kelebek
Köşe Takımı	/kose-takimi	6879	1820	/kose-takimlari	15336	1441	-	-	-	Dogtas
TV Ünitesi	/tv-unite-takimi	6412	1008	/tv-unitesi-lp	11006	259	-	-	-	Dogtas
Mutfak Masa	/mutfak-masa-takimi	8062	698	/mutfak-masasi-takimi	4822	868	-	-	-	Kelebek
Genç Odası	/genc-odasi-takimlari	5012	1924	/genc-odasi-takimlari	3785	1081	-	-	-	Kelebek
Konsol	/konsol	3013	131	/konsol	3476	292	-	-	-	Dogtas
Dolap	/dolap	2817	464	/dolap	6859	1174	-	-	-	Dogtas
Sehpa	/orta-sehpa	2707	220	/sehpalar	1571	181	-	-	-	Kelebek
Berjer	/berjer	1049	110	/berjerler-ve-puflar	2985	496	-	-	-	Dogtas
Sandalye	/sandalye-bench	2030	118	/sandalye-bank	1101	46	-	-	-	Kelebek
Bahçe/Balkon	/bahce-seti	1724	96	/bahce-ve-balkon-oturma-takimi	2666	110	-	-	-	Dogtas
Yatak	-	-	-	-	-	-	/yatak	2948	1275	Lovayatak
Tek Kişilik Yatak	-	-	-	-	-	-	/tek-kisilik-yataklar	1355	52	Lovayatak
Çift Kişilik Yatak	-	-	-	-	-	-	/cift-kisilik-yataklar	946	71	Lovayatak
Nevresim	-	-	-	-	-	-	/cift-kisilik-nevresim-takimi	1000	39	Lovayatak
Baza	-	-	-	-	-	-	/cift-kisilik-bazalar	769	120	Lovayatak
Battaniye	-	-	-	-	-	-	/battaniye	544	9	Lovayatak
